,date,station_id,station_name,station_lat,station_long,ride_counts,trip_minutes
188,2019-01-01,447,8 Ave & W 52 St,40.76370739,-73.9851615,2583,2285777
189,2019-01-01,448,W 37 St & 10 Ave,40.75660359,-73.9979009,2497,1963084
190,2019-01-01,450,W 49 St & 8 Ave,40.76227205,-73.98788205,2884,1804783
191,2019-01-01,453,W 22 St & 8 Ave,40.74475148,-73.99915362,3040,1742836
192,2019-01-01,454,E 51 St & 1 Ave,40.75455731,-73.96592976,1149,818728
193,2019-01-01,455,1 Ave & E 44 St,40.75001986,-73.96905301,2110,1894993
194,2019-01-01,456,E 53 St & Madison Ave,40.7597108,-73.97402311,2061,2748665
195,2019-01-01,458,11 Ave & W 27 St,40.751396,-74.005226,2688,1939805
196,2019-01-01,459,W 20 St & 11 Ave,40.746745,-74.007756,4640,3373763
197,2019-01-01,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,1848,1260413
198,2019-01-01,461,E 20 St & 2 Ave,40.73587678,-73.98205027,3501,2404937
199,2019-01-01,462,W 22 St & 10 Ave,40.74691959,-74.00451887,2860,1926143
200,2019-01-01,465,Broadway & W 41 St,40.75513557,-73.98658032,4351,3771652
201,2019-01-01,466,W 25 St & 6 Ave,40.74395411,-73.99144871,3267,2150025
202,2019-01-01,467,Dean St & 4 Ave,40.68312489,-73.97895137,1309,737713
203,2019-01-01,468,Broadway & W 56 St,40.7652654,-73.98192338,4317,4323221
204,2019-01-01,469,Broadway & W 53 St,40.76344058,-73.98268129,2167,1345297
205,2019-01-01,470,W 20 St & 8 Ave,40.74345335,-74.00004031,2456,1547533
206,2019-01-01,471,Grand St & Havemeyer St,40.71286844,-73.95698119,777,641984
207,2019-01-01,472,E 32 St & Park Ave,40.7457121,-73.98194829,4174,3708790
208,2019-01-01,473,Rivington St & Chrystie St,40.72110063,-73.9919254,1456,1163602
209,2019-01-01,474,5 Ave & E 29 St,40.7451677,-73.98683077,2966,2082745
210,2019-01-01,476,E 31 St & 3 Ave,40.74394314,-73.97966069,2861,2104356
211,2019-01-01,477,W 41 St & 8 Ave,40.75640548,-73.9900262,5539,3945044
212,2019-01-01,478,11 Ave & W 41 St,40.76030096,-73.99884222,2749,1967778
213,2019-01-01,479,9 Ave & W 45 St,40.76019252,-73.9912551,3143,2251361
214,2019-01-01,480,W 53 St & 10 Ave,40.76669671,-73.99061728,2450,2066842
215,2019-01-01,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,1119,697586
216,2019-01-01,482,W 15 St & 7 Ave,40.73935542,-73.99931783,2486,1496037
217,2019-01-01,483,E 12 St & 3 Ave,40.73223272,-73.98889957,590,367169
218,2019-01-01,484,W 44 St & 5 Ave,40.75500254,-73.98014437,2240,1535852
219,2019-01-01,485,W 37 St & 5 Ave,40.75038009,-73.98338988,2212,1438434
220,2019-01-01,486,Broadway & W 29 St,40.7462009,-73.98855723,3486,2334973
221,2019-01-01,487,E 20 St & FDR Drive,40.73314259,-73.97573881,3348,2434531
222,2019-01-01,490,8 Ave & W 33 St,40.751551,-73.993934,5214,3685059
223,2019-01-01,491,E 24 St & Park Ave S,40.74096374,-73.98602213,4181,2701237
224,2019-01-01,492,W 33 St & 7 Ave,40.75019995,-73.99093085,4497,3823775
225,2019-01-01,493,W 45 St & 6 Ave,40.7568001,-73.98291153,1811,1313995
226,2019-01-01,494,W 26 St & 8 Ave,40.74734825,-73.99723551,3356,2049655
227,2019-01-01,495,W 47 St & 10 Ave,40.76269882,-73.99301222,2308,1621537
228,2019-01-01,496,E 16 St & 5 Ave,40.73726186,-73.99238967,3439,2681434
229,2019-01-01,497,E 17 St & Broadway,40.73704984,-73.99009296,5786,3714299
230,2019-01-01,498,Broadway & W 32 St,40.74854862,-73.98808416,3617,2658809
231,2019-01-01,499,Broadway & W 60 St,40.76915505,-73.98191841,3761,2735849
232,2019-01-01,500,Broadway & W 51 St,40.76228826,-73.98336183,2357,1542307
233,2019-01-01,501,FDR Drive & E 35 St,40.744219,-73.97121214,1709,1907398
234,2019-01-01,502,Henry St & Grand St,40.714215,-73.981346,2269,1546676
235,2019-01-01,503,E 20 St & Park Ave,40.73827428,-73.98751968,2948,1759645
236,2019-01-01,504,1 Ave & E 16 St,40.73221853,-73.98165557,4236,2570180
237,2019-01-01,505,6 Ave & W 33 St,40.74901271,-73.98848395,4575,3770843
238,2019-01-01,507,E 25 St & 2 Ave,40.73912601,-73.97973776,3462,2419467
239,2019-01-01,508,W 46 St & 11 Ave,40.76341379,-73.99667444,1965,1563131
240,2019-01-01,509,9 Ave & W 22 St,40.7454973,-74.00197139,3444,2098643
241,2019-01-01,513,W 56 St & 10 Ave,40.768254,-73.988639,1900,1394472
242,2019-01-01,514,12 Ave & W 40 St,40.76087502,-74.00277668,2553,2590407
243,2019-01-01,515,W 43 St & 10 Ave,40.76009437,-73.99461843,2653,2134625
244,2019-01-01,516,E 47 St & 1 Ave,40.75206862,-73.96784384,984,834438
245,2019-01-01,517,Pershing Square South,40.751581,-73.97791,4234,3003989
246,2019-01-01,518,E 39 St & 2 Ave,40.74780373,-73.9734419,3129,2199253
247,2019-01-01,519,Pershing Square North,40.751873,-73.977706,8874,6663285
248,2019-01-01,520,W 52 St & 5 Ave,40.75992262,-73.97648516,2059,1597384
249,2019-01-01,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,1989,1554342
250,2019-01-01,523,W 38 St & 8 Ave,40.75466591,-73.99138152,4614,3989539
251,2019-01-01,524,W 43 St & 6 Ave,40.75527307,-73.98316936,2720,1837946
252,2019-01-01,525,W 34 St & 11 Ave,40.75594159,-74.0021163,1546,1240746
253,2019-01-01,526,E 33 St & 5 Ave,40.74765947,-73.98490707,2597,1870034
254,2019-01-01,528,2 Ave & E 31 St,40.74290902,-73.97706058,3163,2202778
255,2019-01-01,529,W 42 St & 8 Ave,40.7575699,-73.99098507,2640,1820386
256,2019-01-01,530,11 Ave & W 59 St,40.77149671054441,-73.99046033620834,2365,2149698
257,2019-01-01,531,Forsyth St & Broome St,40.71893904,-73.99266288,2796,1853733
258,2019-01-01,532,S 5 Pl & S 5 St,40.710451,-73.960876,1375,1492934
259,2019-01-01,533,Broadway & W 38 St,40.75299641,-73.98721619,2573,1800769
260,2019-01-01,534,Water - Whitehall Plaza,40.70255065,-74.0127234,1014,883134
261,2019-01-01,536,1 Ave & E 30 St,40.74144387,-73.97536082,2461,1675781
262,2019-01-01,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,2200,1419876
263,2019-01-01,540,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922,2686,1702811
264,2019-01-01,545,E 23 St & 1 Ave,40.736502,-73.97809472,3559,2481372
265,2019-01-01,546,E 30 St & Park Ave S,40.74444921,-73.98303529,2002,1216154
266,2019-01-01,2000,Front St & Washington St,40.70255088,-73.98940236,1426,1712158
267,2019-01-01,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,1640,1310450
268,2019-01-01,2003,1 Ave & E 18 St,40.73381219196632,-73.98054420948029,3261,2039215
269,2019-01-01,2005,Railroad Ave & Kay Ave,40.70531194,-73.97100056,34,24904
270,2019-01-01,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,2917,3628310
271,2019-01-01,2008,Little West St & 1 Pl,40.70569254,-74.01677685,1802,1347539
272,2019-01-01,2009,Catherine St & Monroe St,40.71117444,-73.99682619,1546,1013448
273,2019-01-01,2010,Grand St & Greene St,40.72165481,-74.00234737,1699,1221680
274,2019-01-01,2012,E 27 St & 1 Ave,40.739445,-73.976806,2690,2022213
275,2019-01-01,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,2796,2239801
276,2019-01-01,2022,E 60 St & York Ave,40.759107,-73.959223,546,1003203
277,2019-01-01,2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,1478,1121177
278,2019-01-01,3002,South End Ave & Liberty St,40.711512,-74.015756,3199,3314315
279,2019-01-01,3016,Kent Ave & N 7 St,40.72036775298455,-73.96165072917938,1487,977391
280,2019-01-01,3041,Kingston Ave & Herkimer St,40.67890679,-73.94142771,250,209687
281,2019-01-01,3042,Fulton St & Utica Ave,40.6794268,-73.9298911,296,3851717
282,2019-01-01,3043,Lewis Ave & Decatur St,40.6814598,-73.934903,185,186075
283,2019-01-01,3044,Albany Ave & Fulton St,40.6800105,-73.938475,138,3310390
284,2019-01-01,3046,Marcus Garvey Blvd & Macon St,40.682601,-73.938037,317,243489
285,2019-01-01,3047,Halsey St & Tompkins Ave,40.6823687,-73.944118,403,380278
286,2019-01-01,3048,Putnam Ave & Nostrand Ave,40.68402,-73.94977,248,194550
